,D2002,D2003,D2004,D2005,D2006,D2007,D2008,D2009,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017,D2018,D2019,D2020,D2021,D2022,D2023,D2024,D2025,D2026,D2027,D2028,D2029,D2030,D2031,age,voted
17,1,4,4,2,2,9,9,9,1,931,2,7,2,99,999,9,9,9,3,7,3,99,6,9,1000,121,14,999,999,4,26,True
18,2,3,1,2,2,9,9,9,1,911,2,2,3,7,996,9,2,4,9,2,0,99,5,9,1101,121,1,999,999,4,70,True
19,1,3,1,2,2,9,9,9,5,832,2,2,3,8,999,9,9,9,3,5,2,99,1,9,1101,121,2,999,999,4,56,True
20,2,3,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,6,3,99,1,9,1101,121,2,999,999,4,24,False
21,2,6,1,2,2,9,9,9,7,235,1,1,3,7,996,9,2,4,9,2,0,99,3,9,1101,121,1,999,999,4,76,True
22,1,4,1,2,2,9,9,9,1,514,4,2,3,1,514,4,2,3,9,2,0,99,6,9,1101,121,1,999,999,4,39,True
23,1,2,4,2,2,9,9,9,1,723,4,2,2,99,999,9,9,9,4,1,0,99,2,9,1101,121,10,999,999,4,60,True
27,1,7,4,2,2,9,9,9,1,751,2,2,2,99,999,9,9,9,5,2,0,99,9,9,8300,121,1,999,999,4,37,True
28,2,1,2,2,2,9,9,9,7,911,2,2,3,99,999,9,9,9,1,7,5,99,6,9,1000,121,2,999,999,4,68,True
31,1,3,1,2,2,9,9,9,1,931,2,1,2,8,999,9,9,9,1,4,0,99,9,9,8300,121,2,999,999,4,43,True
32,2,3,1,2,8,9,9,9,10,999,9,9,9,1,931,2,2,2,3,5,3,99,1,9,1101,121,2,999,999,4,37,True
35,2,3,1,2,1,9,9,9,1,996,9,1,4,1,541,1,1,3,3,3,1,99,1,9,1101,121,11,999,999,2,44,True
36,1,2,3,2,2,9,9,9,7,931,2,1,2,99,999,9,9,9,3,1,0,99,6,9,1000,121,13,999,999,2,70,True
37,1,4,4,2,2,9,9,9,1,931,4,2,2,99,999,9,9,9,2,6,4,99,9,9,8300,121,13,999,999,2,33,True
38,1,3,4,2,2,9,9,9,1,512,1,2,3,99,999,9,9,9,1,2,0,99,6,9,1101,121,9,999,999,4,54,True
39,2,4,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,9,2,1,99,2,9,1101,121,2,999,999,4,37,True
40,2,3,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,3,5,1,99,6,9,1000,121,9,999,999,4,24,False
41,1,3,4,1,1,9,9,9,6,999,9,9,9,99,999,9,9,9,2,5,0,99,4,9,1101,121,14,999,999,4,24,False
42,1,3,1,2,2,9,9,9,1,752,2,2,2,1,911,4,2,3,2,3,1,99,1,9,9998,121,2,999,999,4,49,True
43,1,6,1,2,2,9,9,9,1,952,4,2,3,1,522,1,2,3,5,5,0,99,6,9,1101,121,11,999,999,2,62,False
44,2,2,3,2,2,9,9,9,7,634,2,2,1,99,999,9,9,9,1,4,1,99,9,9,8300,121,2,999,999,4,67,True
45,1,2,3,2,2,9,9,9,1,751,2,2,2,99,999,9,9,9,4,5,4,99,1,9,1101,121,12,999,999,4,53,True
46,2,3,1,8,2,9,9,9,1,996,9,2,4,1,931,2,2,2,4,6,2,99,4,9,1101,121,11,999,999,2,44,True
47,1,2,1,2,2,9,9,9,5,962,4,2,3,10,999,9,9,9,1,6,4,99,1,9,1101,121,4,999,999,2,38,True
48,2,3,1,2,2,9,9,9,1,911,2,2,3,1,832,2,2,3,3,5,0,99,9,9,8300,121,1,999,999,4,64,True
49,1,2,4,2,2,9,9,9,5,911,2,2,3,99,999,9,9,9,4,4,1,99,9,9,8300,121,10,999,999,4,30,True
50,2,4,1,2,2,9,9,9,8,999,9,9,9,1,911,2,2,3,2,5,3,99,2,9,1101,121,2,999,999,4,36,True
51,2,4,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,2,1,99,2,9,1101,121,2,999,999,2,37,True
52,1,4,4,2,2,9,9,9,1,142,4,2,3,99,999,9,9,9,3,1,99,99,1,9,9600,121,8,999,999,4,36,True
53,2,4,4,1,1,9,9,9,8,522,1,9,3,99,999,9,9,9,2,7,3,99,1,9,1101,121,3,999,999,4,29,True
54,2,3,1,2,1,9,9,9,1,531,4,2,3,1,132,1,2,3,5,5,3,99,6,9,1000,121,11,999,999,2,35,True
55,2,4,1,2,2,9,9,9,1,754,2,2,2,5,541,1,2,3,3,7,4,99,1,9,1101,121,2,999,999,4,42,True
58,1,3,4,2,2,9,9,9,1,931,2,2,2,99,999,9,9,9,2,5,0,99,2,9,1101,121,4,999,999,2,30,True
60,1,4,1,2,2,9,9,9,1,723,4,2,2,8,999,9,9,9,4,3,1,99,1,9,1101,121,9,999,999,4,66,True
61,2,4,1,2,2,9,9,9,8,999,9,9,9,1,541,1,1,3,4,4,2,99,1,9,1101,121,2,999,999,2,31,True
62,2,4,3,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,1,4,1,99,4,9,1000,121,1,999,999,4,56,False
63,1,2,4,2,1,9,9,9,97,931,2,9,2,99,999,9,9,9,2,3,0,99,6,9,1101,121,14,999,999,4,52,True
64,1,2,1,2,2,9,9,9,1,933,4,2,9,5,911,2,2,3,3,4,2,99,6,9,1101,121,5,999,999,4,42,True
66,2,4,1,2,2,9,9,9,1,422,1,2,3,1,996,9,2,4,9,6,3,99,6,9,1101,121,9,999,999,4,45,True
67,2,5,1,2,1,9,9,9,1,911,2,2,3,1,996,9,1,4,4,5,3,99,9,9,8300,121,11,999,999,2,34,True
68,1,2,4,2,2,9,9,9,1,522,1,2,3,99,999,9,9,9,2,6,3,99,9,9,8300,121,2,999,999,4,27,False
69,2,3,1,2,2,9,9,9,8,999,9,9,9,1,311,1,2,3,9,4,1,99,3,9,1101,121,2,999,999,4,62,True
70,2,6,1,2,2,9,9,9,1,911,4,2,3,7,997,7,2,7,3,5,0,99,4,9,1101,121,3,999,999,4,73,True
71,1,3,4,2,2,9,9,9,5,723,4,2,2,99,999,9,9,9,9,7,3,99,1,9,1101,121,2,999,999,4,27,True
72,1,2,1,2,2,9,9,9,1,515,1,2,3,8,999,9,9,9,4,3,1,99,1,9,1101,121,1,999,999,4,48,True
73,1,6,4,2,2,9,9,9,1,142,4,2,3,99,999,9,9,9,3,3,0,99,4,9,1101,121,8,999,999,4,32,True
74,1,3,1,1,2,9,9,9,1,996,9,1,4,8,999,9,9,9,4,6,4,99,3,9,1101,121,8,999,999,4,69,True
76,2,2,4,2,2,9,9,9,1,524,4,2,3,99,999,9,9,9,3,1,99,99,1,9,9998,121,2,999,999,4,56,True
77,1,2,1,2,2,9,9,9,1,931,4,2,2,7,999,9,7,9,2,2,0,99,3,9,1101,121,7,999,999,4,68,True
78,2,4,4,2,1,9,9,9,1,262,1,1,3,99,999,9,9,9,1,5,3,99,1,9,1101,121,2,999,999,2,32,True
79,2,5,1,2,2,9,9,9,8,999,9,9,9,1,712,2,2,2,9,6,1,99,2,9,1101,121,2,999,999,4,68,True
80,1,3,4,2,2,9,9,9,5,996,9,8,4,99,999,9,9,9,3,3,0,99,5,9,1000,121,10,999,999,4,34,True
81,2,2,2,2,2,9,9,9,1,141,4,2,3,99,999,9,9,9,1,2,1,99,1,9,1101,121,10,999,999,4,57,False
82,2,2,2,2,2,9,9,9,7,911,2,2,3,99,999,9,9,9,1,1,97,99,6,9,1000,121,10,999,999,4,78,False
84,2,2,1,2,2,9,9,9,1,334,1,2,3,1,931,2,2,2,9,3,1,99,1,9,1101,121,2,999,999,4,28,False
85,1,4,4,2,2,9,9,9,1,813,2,2,2,99,999,9,9,9,4,7,2,99,2,9,1101,121,2,999,999,4,36,True
86,2,3,4,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,1,5,4,99,2,9,1101,121,4,999,999,2,52,True
87,2,4,1,2,2,9,9,9,8,999,9,9,9,1,752,2,2,2,3,2,0,99,4,9,1101,121,2,999,999,4,63,False
88,1,5,1,2,1,9,9,9,1,911,2,2,3,1,911,2,1,3,3,3,1,99,9,9,8300,121,9,999,999,4,31,True
90,2,1,2,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,1,3,1,99,3,9,1101,121,4,999,999,2,80,False
91,2,5,4,2,1,9,9,9,6,999,9,9,9,99,999,9,9,9,5,4,1,99,3,9,1101,121,12,999,999,4,25,True
92,2,5,1,1,1,9,9,9,1,235,1,1,3,1,235,1,1,3,3,4,2,99,6,9,1101,121,7,999,999,4,51,True
94,2,5,3,2,2,9,9,9,1,235,1,2,3,99,999,9,9,9,9,4,1,99,1,9,1101,121,1,999,999,4,32,True
95,2,2,4,2,2,9,9,9,1,531,1,2,3,99,999,9,9,9,2,3,0,99,1,9,1101,121,10,999,999,4,35,True
96,2,2,1,2,2,9,9,9,10,999,9,9,9,1,832,2,2,3,3,10,4,99,2,9,1101,121,2,999,999,4,65,True
97,1,3,4,2,2,9,9,9,7,712,4,2,2,99,999,9,9,9,3,3,0,99,2,9,1101,121,14,999,999,4,76,True
99,1,4,4,2,2,9,9,9,1,524,1,2,3,99,999,9,9,9,3,1,0,99,9,9,8300,121,14,999,999,4,36,True
100,1,2,1,1,8,9,9,9,1,818,2,2,2,5,818,2,2,2,3,3,1,99,1,9,1101,121,8,999,999,4,36,True
101,1,2,3,2,2,9,9,9,1,611,4,2,1,99,999,9,9,9,1,2,0,99,1,9,1101,121,4,999,999,2,64,True
102,2,4,4,2,2,9,9,9,1,521,4,2,3,99,999,9,9,9,9,4,1,99,1,9,1101,121,2,999,999,4,34,True
104,1,7,2,1,2,9,9,9,1,235,1,1,3,99,999,9,9,9,4,1,99,99,4,9,1101,121,2,999,999,2,75,True
105,1,3,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,4,6,2,99,5,9,1000,121,5,999,999,4,46,True
106,2,4,1,2,2,9,9,9,1,996,9,2,4,1,931,2,2,2,9,4,1,99,1,9,1101,121,2,999,999,4,36,False
107,1,3,4,2,2,9,9,9,1,512,1,2,3,99,999,9,9,9,2,6,1,99,9,9,8300,121,6,999,999,4,24,False
109,1,4,1,1,2,9,9,9,1,996,9,2,4,8,999,9,9,9,3,5,2,99,1,9,1101,121,2,999,999,4,47,True
110,1,4,1,2,2,9,9,9,1,142,1,2,3,1,522,1,2,3,9,5,2,99,4,9,9600,121,2,999,999,4,42,True
111,2,6,1,2,2,9,9,9,8,999,9,9,9,1,334,1,2,3,9,4,1,99,2,9,1101,121,1,999,999,4,46,True
112,2,1,1,2,2,9,9,9,8,999,9,9,9,7,931,2,2,2,3,3,0,99,6,9,1000,121,10,999,999,4,74,True
113,1,3,1,2,8,9,9,9,1,522,1,2,3,10,999,9,9,9,9,4,2,99,9,9,8300,121,2,999,999,4,31,True
114,2,7,4,2,2,9,9,9,1,221,4,2,3,99,999,9,9,9,9,1,99,99,3,9,1101,121,4,999,999,4,53,True
115,2,1,4,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,1,9,5,99,2,9,1101,121,14,999,999,4,30,True
116,1,5,1,2,2,9,9,9,1,741,2,2,3,8,999,9,9,9,3,3,1,99,2,9,1101,121,2,999,999,4,41,False
117,2,4,4,2,2,9,9,9,5,911,2,8,3,99,999,9,9,9,1,4,97,99,1,9,1101,121,2,999,999,4,45,True
118,2,4,1,1,2,9,9,9,1,222,1,1,3,7,814,2,2,2,4,5,0,99,4,9,1101,121,5,999,999,4,67,True
120,1,4,3,2,2,9,9,9,1,962,2,2,3,99,999,9,9,9,4,3,0,99,2,9,1101,121,2,999,999,4,32,True
121,2,3,1,2,2,9,9,9,8,999,9,9,9,1,818,2,2,2,3,5,3,99,6,9,1000,121,2,999,999,4,36,True
122,1,7,4,2,2,9,9,9,1,235,1,1,3,99,999,9,9,9,3,2,0,99,1,9,1101,121,1,999,999,4,36,True
124,2,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,2,7,4,99,6,9,1000,121,7,999,999,4,25,False
125,2,4,1,2,2,9,9,9,8,999,9,9,9,1,754,2,2,2,2,4,2,99,9,9,8300,121,12,999,999,4,38,True
126,1,1,1,2,2,9,9,9,1,812,2,2,2,1,532,1,2,3,4,4,2,99,4,9,1101,121,2,999,999,4,49,True
127,1,2,3,1,2,9,9,9,1,313,4,2,3,99,999,9,9,9,2,1,0,99,2,9,1101,121,7,999,999,4,67,True
128,2,3,1,2,2,9,9,9,1,911,2,2,3,7,996,9,2,4,3,3,0,99,6,9,1101,121,14,999,999,4,73,True
129,1,5,4,2,8,9,9,9,6,999,9,9,9,99,999,9,9,9,9,4,1,99,2,9,1101,121,4,999,999,4,27,False
130,1,4,1,2,2,9,9,9,1,723,2,2,2,1,818,2,2,2,5,97,1,99,1,9,1101,121,2,999,999,4,53,True
131,2,2,1,2,2,9,9,9,7,999,9,2,9,7,996,9,2,4,9,2,0,99,3,9,1101,121,2,999,999,4,79,True
132,2,3,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,4,3,1,99,9,9,8300,121,10,999,999,4,32,True
133,2,2,1,2,2,9,9,9,97,521,1,9,3,1,931,2,2,2,1,5,3,99,5,9,1101,121,14,999,999,4,41,True
134,2,4,3,2,2,9,9,9,8,754,2,9,2,99,999,9,9,9,1,1,99,99,1,9,1101,121,9,999,999,4,62,True
135,2,5,3,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,1,1,99,99,3,9,1101,121,2,999,999,2,67,True
136,2,4,4,2,2,9,9,9,1,815,2,2,2,99,999,9,9,9,9,2,1,99,3,9,1101,121,2,999,999,4,39,True
137,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,5,5,2,99,6,9,1101,121,9,999,999,4,24,False
138,2,7,4,1,1,9,9,9,1,222,1,2,3,99,999,9,9,9,5,2,0,99,1,9,1101,121,1,999,999,4,39,True
139,2,3,4,2,2,9,9,9,7,999,9,7,9,99,999,9,9,9,3,2,0,99,2,9,1000,121,2,999,999,2,40,True
140,1,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,6,3,99,5,9,1101,121,7,999,999,4,24,False
141,1,1,2,2,2,9,9,9,7,833,2,1,3,99,999,9,9,9,1,1,0,99,6,9,1000,121,2,999,999,4,76,True
142,1,4,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,2,4,0,99,6,9,1101,121,8,999,999,4,66,True
143,1,4,4,2,2,9,9,9,1,932,2,2,2,99,999,9,9,9,5,2,0,99,3,9,1101,121,14,999,999,4,48,True
145,1,7,4,2,2,9,9,9,1,235,1,1,3,99,999,9,9,9,5,1,99,99,3,9,1101,121,3,999,999,4,46,True
146,2,2,1,2,2,9,9,9,1,996,9,2,4,1,996,9,2,4,3,11,5,99,2,9,1101,121,8,999,999,4,46,True
148,2,2,4,2,2,9,9,9,5,512,1,2,3,99,999,9,9,9,1,4,2,99,1,9,1101,121,2,999,999,2,50,True
150,1,1,1,2,2,9,9,9,7,713,2,2,2,7,911,2,7,3,9,6,1,99,3,9,1101,121,14,999,999,4,82,True
151,1,5,4,2,1,9,9,9,1,996,9,2,4,99,999,9,9,9,3,2,0,99,1,9,1101,121,8,999,999,4,31,True
152,1,4,4,2,2,9,9,9,7,832,2,2,3,99,999,9,9,9,3,2,0,99,2,9,1101,121,12,999,999,4,58,True
154,1,3,3,2,2,9,9,9,1,723,4,2,2,99,999,9,9,9,3,6,1,99,2,9,1101,121,2,999,999,4,66,False
155,2,4,1,2,2,9,9,9,8,999,9,9,9,1,996,9,2,4,3,3,1,99,3,9,1101,121,2,999,999,4,30,True
156,1,2,1,2,2,9,9,9,1,931,2,2,2,1,752,2,2,2,2,4,0,99,2,9,1101,121,4,999,999,2,54,True
157,2,6,3,2,2,9,9,9,1,334,1,2,3,99,999,9,9,9,4,3,1,99,3,9,1101,121,1,999,999,4,46,True
159,2,4,1,2,2,9,9,9,8,999,9,9,9,1,832,2,2,3,3,2,98,99,3,9,1101,121,2,999,999,4,69,True
160,2,2,4,2,2,9,9,9,8,911,2,9,3,99,999,9,9,9,1,1,99,99,4,9,1101,121,2,999,999,4,78,True
161,2,2,1,2,2,9,9,9,8,999,9,9,9,1,722,2,2,2,3,2,97,99,6,9,1000,121,11,999,999,2,64,True
162,1,5,3,2,2,9,9,9,5,522,1,2,3,99,999,9,9,9,3,3,2,99,2,9,1101,121,1,999,999,4,54,True
163,1,2,1,2,2,9,9,9,5,931,2,2,2,1,911,2,2,3,1,4,1,99,9,9,8300,121,2,999,999,4,36,True
164,2,2,4,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,9,4,0,99,1,9,1101,121,1,999,999,4,55,True
167,1,4,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,2,0,99,2,9,1101,121,2,999,999,4,24,True
168,2,3,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,4,5,2,99,6,9,1000,121,2,999,999,4,36,True
169,2,2,3,2,2,9,9,9,7,911,2,2,3,99,999,9,9,9,9,4,1,99,5,9,1101,121,2,999,999,4,80,True
170,1,2,4,2,2,9,9,9,7,721,2,1,2,99,999,9,9,9,3,1,99,99,1,9,1101,121,14,999,999,4,70,True
172,1,3,1,1,2,9,9,9,1,818,2,2,2,10,999,9,9,9,4,5,3,99,2,9,1000,121,2,999,999,4,38,True
173,2,1,1,2,2,9,9,9,97,911,2,9,3,7,962,2,2,3,1,8,2,99,3,9,1101,121,4,999,999,2,58,True
174,1,2,1,1,2,9,9,9,7,833,2,2,3,8,999,9,9,9,4,5,3,99,1,9,1101,121,2,999,999,4,67,True
175,1,2,1,2,2,9,9,9,7,141,4,2,3,1,141,1,2,3,2,4,2,99,6,9,1000,121,2,999,999,4,43,True
176,2,2,1,2,2,9,9,9,1,713,2,1,2,1,512,1,1,3,3,4,97,99,6,9,1000,121,2,999,999,4,61,True
179,1,4,1,1,2,9,9,9,1,812,2,2,2,8,999,9,9,9,3,5,3,99,6,9,1000,121,2,999,999,4,48,False
181,2,3,1,2,2,9,9,9,8,999,9,9,9,1,818,2,2,2,5,4,2,99,6,9,1000,121,2,999,999,4,38,True
182,2,4,7,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,3,4,1,99,1,9,1101,121,4,999,999,2,48,True
183,1,5,1,2,2,9,9,9,5,522,1,2,3,1,911,2,2,3,4,2,0,99,1,9,1101,121,10,999,999,4,35,True
184,2,4,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,1,4,0,99,6,9,1000,121,8,999,999,4,26,False
185,1,3,4,2,1,9,9,9,1,512,1,2,3,99,999,9,9,9,2,2,0,99,6,9,1000,121,12,999,999,4,28,False
187,1,5,4,2,2,9,9,9,1,235,4,2,3,99,999,9,9,9,3,1,99,99,2,9,1101,121,9,999,999,4,67,True
188,2,5,4,2,2,9,9,9,1,996,9,2,4,99,999,9,9,9,9,4,1,99,2,9,1101,121,2,999,999,4,25,False
189,2,2,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,5,2,99,1,9,1101,121,2,999,999,4,25,True
190,2,2,3,2,2,9,9,9,97,996,9,9,4,99,999,9,9,9,1,6,2,99,2,9,1101,121,14,999,999,4,55,True
192,2,3,1,2,2,9,9,9,1,522,4,2,3,1,931,4,2,2,4,5,1,99,2,9,1101,121,6,999,999,4,44,True
194,1,4,1,1,1,9,9,9,1,541,1,2,3,8,999,9,9,9,9,6,1,99,3,9,1101,121,2,999,999,4,48,True
196,1,3,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,1,6,2,99,6,9,1000,121,11,999,999,2,27,True
197,1,2,4,2,2,9,9,9,5,962,2,2,3,99,999,9,9,9,1,3,1,99,2,9,1101,121,8,999,999,4,47,True
198,1,2,1,2,2,9,9,9,1,722,4,2,2,7,999,9,1,9,5,6,4,99,1,9,1101,121,2,999,999,2,61,True
199,2,3,1,2,8,9,9,9,8,999,9,9,9,1,132,1,2,3,9,3,0,99,3,9,1101,121,2,999,999,4,28,True
200,2,2,2,2,2,9,9,9,7,911,4,2,3,99,999,9,9,9,1,5,2,99,1,9,1101,121,2,999,999,4,83,True
201,2,5,4,2,2,9,9,9,97,999,9,9,9,99,999,9,9,9,2,4,1,99,6,9,1101,121,14,999,999,4,41,True
203,2,4,3,2,2,9,9,9,1,911,2,2,3,99,999,9,9,9,3,2,1,99,2,9,1101,121,14,999,999,4,68,True
205,1,3,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,5,1,99,9,9,8300,121,2,999,999,4,24,False
208,2,2,1,2,2,9,9,9,10,999,9,9,9,1,996,9,2,4,9,2,0,99,2,9,1101,121,2,999,999,4,53,True
209,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,9,4,0,99,1,9,1101,121,2,999,999,4,24,False
210,2,4,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,5,4,99,1,9,1101,121,6,999,999,4,38,True
211,2,4,1,2,2,9,9,9,8,999,9,9,9,1,421,1,1,3,3,3,1,99,2,9,1101,121,2,999,999,4,54,True
213,2,3,3,2,7,9,9,9,5,911,4,2,3,99,999,9,9,9,9,3,1,99,1,9,9998,121,2,999,999,4,48,True
215,2,5,4,2,2,9,9,9,1,522,4,2,3,99,999,9,9,9,1,5,3,99,1,9,1101,121,13,999,999,2,33,True
216,2,3,4,2,2,9,9,9,5,522,4,2,3,99,999,9,9,9,9,4,0,99,6,9,1000,121,2,999,999,4,25,False
218,1,4,4,2,2,9,9,9,1,541,1,1,3,99,999,9,9,9,5,3,0,99,3,9,1101,121,2,999,999,4,33,True
219,1,4,4,2,2,9,9,9,1,132,1,2,3,99,999,9,9,9,2,97,0,99,6,9,1101,121,7,999,999,4,27,True
220,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,4,3,0,99,3,9,1101,121,9,999,999,4,24,False
221,2,2,1,2,2,9,9,9,8,999,9,9,9,1,961,2,1,3,1,5,3,99,1,9,1101,121,2,999,999,4,33,True
222,2,3,1,2,8,9,9,9,8,999,9,9,9,1,723,2,2,2,9,5,1,99,3,9,1101,121,2,999,999,4,64,True
224,2,3,1,2,2,9,9,9,8,999,9,9,9,1,996,4,2,4,1,4,2,99,1,9,1101,121,9,999,999,4,32,True
226,2,3,3,2,2,9,9,9,1,142,1,2,3,99,999,9,9,9,1,3,0,99,1,9,1101,121,2,999,999,4,57,True
227,1,2,1,2,2,9,9,9,1,933,2,2,9,8,999,9,9,9,3,5,3,99,9,9,8300,121,2,999,999,4,31,True
228,2,5,1,2,2,9,9,9,8,999,9,9,9,1,996,9,2,4,9,6,4,99,4,9,1101,121,9,999,999,4,48,True
230,2,2,3,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,2,3,0,99,6,9,1000,121,2,999,999,4,53,True
231,1,2,1,2,1,9,9,9,1,931,4,2,2,1,334,1,1,3,2,4,0,99,5,9,1101,121,2,999,999,4,66,True
232,1,1,1,2,2,9,9,9,1,931,4,2,2,8,999,9,9,9,1,4,0,99,9,9,8300,121,2,999,999,4,62,True
233,1,8,4,1,2,9,9,9,1,231,1,1,3,99,999,9,9,9,5,1,99,99,1,9,1101,121,3,999,999,4,59,False
235,2,6,1,2,2,9,9,9,8,999,9,9,9,1,723,2,2,2,5,6,1,99,5,9,1101,121,14,999,999,4,62,True
238,1,2,1,2,2,9,9,9,1,931,4,2,2,10,999,9,9,9,9,5,3,99,3,9,1101,121,2,999,999,4,54,True
241,2,1,2,2,2,9,9,9,1,541,1,2,3,99,999,9,9,9,3,2,0,99,6,9,1101,121,10,999,999,4,57,True
242,1,5,1,1,1,9,9,9,1,522,1,2,3,8,999,9,9,9,3,4,2,99,1,9,1101,121,2,999,999,4,35,True
243,2,5,4,2,2,9,9,9,6,999,9,9,9,99,999,9,9,9,5,4,0,99,6,9,1101,121,3,999,999,4,30,True
244,1,4,4,2,2,9,9,9,1,723,4,2,2,99,999,9,9,9,2,2,0,99,1,9,1101,121,1,999,999,4,44,True
246,2,4,1,8,2,9,9,9,8,999,9,9,9,1,996,9,2,4,1,5,3,99,2,9,1101,121,4,999,999,2,41,True
247,2,5,1,2,2,9,9,9,1,334,1,2,3,10,999,9,9,9,4,4,1,99,2,9,1000,121,1,999,999,4,31,True
248,2,5,1,2,2,9,9,9,7,222,1,7,3,7,932,2,2,2,9,2,0,99,3,9,1101,121,4,999,999,4,85,True
250,2,3,3,2,2,9,9,9,1,911,4,2,3,99,999,9,9,9,2,3,0,99,2,9,1101,121,4,999,999,2,38,True
251,2,4,3,2,2,9,9,9,1,265,4,2,3,99,999,9,9,9,2,3,1,99,1,9,1101,121,1,999,999,4,50,True
252,2,2,1,2,2,9,9,9,8,999,9,9,9,7,931,4,2,2,3,3,0,99,5,9,1101,121,5,999,999,4,71,True
253,2,2,1,2,2,9,9,9,1,514,1,2,3,1,996,9,2,4,2,6,4,99,2,9,1101,121,4,999,999,2,41,True
254,2,4,3,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,9,6,1,99,6,9,1101,121,3,999,999,4,53,False
255,1,1,4,2,1,9,9,9,1,512,1,7,3,99,999,9,9,9,1,10,1,99,2,9,1101,121,13,999,999,2,25,False
256,2,4,4,2,2,9,9,9,8,999,9,9,9,99,999,9,9,9,1,3,1,99,4,9,1101,121,2,999,999,2,25,False
257,2,6,1,1,2,9,9,9,1,235,1,1,3,1,541,1,1,3,5,6,1,99,4,9,1101,121,10,999,999,4,57,True
258,2,3,1,2,2,9,9,9,5,531,4,2,3,1,832,4,2,3,3,4,1,99,3,9,1000,121,10,999,999,4,48,True
